age,agedef,unit,sex,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
Y13,COMPLET,NR,F,DE	: 	: 	: 	: 	: 	: 	: 	1466 	1386 	1373 	1474 	1590 	1439 	1546 	1505 	1917 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,EL	323 	334 	205 	234 	145 	188 	122 	114 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,ES	1281 	1525 	1975 	1681 	1470 	1327 	1407 	1035 b	717 	397 	190 	123 	52 	36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,FI	47 	42 	40 	55 	42 	32 	45 	50 	37 	39 	49 	48 	43 	42 	52 	41 	45 	24 	26 	36 	35 	30 	33 	24 	33 	24 
Y13,COMPLET,NR,F,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,HR	: 	: 	: 	38 	36 	37 	15 	20 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,IE	200 	191 p	224 p	176 	120 	113 	53 	30 	41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,IS	9 	13 	12 	: 	: 	26 	23 b	12 	15 	12 	11 	18 	14 	23 	14 	19 	10 	21 	17 	18 	22 	19 	11 	11 	15 	10 
Y13,COMPLET,NR,F,IT	625 	547 	421 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,LI	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,LT	131 	114 	95 	144 	163 	246 	96 	91 	98 	157 	539 	264 	269 	136 	226 	37 	41 	47 	99 	148 	194 	260 	: 	: 	: 	: 
Y13,COMPLET,NR,F,LU	: 	: 	41 	39 	34 	34 	42 	37 	37 	41 	25 	34 	31 	35 	29 	28 	37 	20 	21 	22 	21 	25 	26 	30 	28 	20 
Y13,COMPLET,NR,F,LV	: 	: 	: 	: 	: 	: 	: 	: 	48 	55 	79 	104 	80 	76 	136 	137 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,NO	98 	73 	91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,PL	909 p	1153 p	1072 	: 	: 	: 	: 	: b	127 	122 	65 	66 	80 	123 	131 	175 	131 	150 	180 	180 	204 	186 	173 	166 	152 	134 
Y13,COMPLET,NR,F,RO	618 	591 	708 	780 	821 	718 	915 	1035 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,SE	193 	171 	201 	166 	175 	167 	122 	170 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,SI	43 	34 	39 	44 	16 	22 	37 	24 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,SK	: 	: 	: 	6 	5 b	17 	12 	11 b	9 	6 	11 	5 	6 	4 	4 	5 	2 	4 	1 	2 	2 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,F,UK	644 	810 	377 	735 	191 	465 	468 	1186 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,AT	135 	119 	128 	122 	127 	103 	133 	134 	107 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,BE	327 	342 	340 	342 	257 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,BG	84 	96 p	52 p	21 bp	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,CZ	: 	: 	: 	: 	: 	: 	: 	: 	42 	81 	60 	42 	42 	40 	35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,DE	: 	: 	: 	: 	: 	: 	: 	1584 	1462 	1485 	1528 	1675 	1735 	1596 	1585 	2125 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,EL	349 	332 	204 	218 	156 	201 	134 	125 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,ES	1353 	1596 	2095 	1675 	1606 	1447 	1393 	1041 b	750 	449 	218 	136 	40 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,FI	43 	37 	33 	42 	31 	42 	35 	43 	46 	38 	42 	47 	41 	40 	42 	43 	36 	43 	23 	40 	27 	27 	19 	29 	17 	21 
Y13,COMPLET,NR,M,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,HR	: 	: 	: 	37 	48 	30 	21 	24 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,IE	139 	179 p	159 p	218 	91 	84 	48 	33 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,IS	23 	17 	10 	: 	: 	19 	24 b	13 	18 	24 	16 	26 	12 	24 	16 	14 	12 	18 	15 	10 	27 	13 	7 	6 	10 	24 
Y13,COMPLET,NR,M,IT	645 	532 	469 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,LI	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,LT	126 	117 	120 	154 	188 	275 	114 	105 	113 	134 	491 	296 	227 	126 	266 	27 	35 	42 	98 	154 	177 	232 	: 	: 	: 	: 
Y13,COMPLET,NR,M,LU	: 	: 	57 	37 	44 	31 	35 	41 	37 	35 	26 	22 	28 	32 	45 	31 	31 	29 	24 	24 	17 	29 	19 	26 	17 	26 
Y13,COMPLET,NR,M,LV	: 	: 	: 	: 	: 	: 	: 	: 	60 	77 	83 	111 	105 	89 	197 	177 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,NO	98 	91 	81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,PL	872 p	1211 p	1194 	: 	: 	: 	: 	: b	150 	145 	53 	64 	88 	122 	177 	224 	187 	175 	179 	201 	221 	190 	181 	185 	156 	140 
Y13,COMPLET,NR,M,RO	452 	606 	753 	782 	822 	746 	839 	1034 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,SE	202 	177 	167 	147 	161 	156 	141 	156 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,SI	59 	54 	42 	33 	23 	31 	38 	30 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,SK	: 	: 	: 	6 	6 b	16 	7 	22 b	10 	5 	15 	7 	6 	9 	4 	3 	2 	2 	2 	0 	1 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,M,UK	370 	387 	472 	410 	123 	254 	676 	736 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,AT	247 	244 	233 	239 	232 	201 	247 	263 	225 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,BE	654 	666 	653 	674 	522 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,BG	162 	189 p	111 p	42 bp	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,CZ	: 	: 	: 	: 	: 	: 	: 	: 	84 	143 	113 	79 	89 	74 	57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,DE	: 	: 	: 	: 	: 	: 	: 	3050 	2848 	2858 	3002 	3265 	3174 	3142 	3090 	4042 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,EL	672 	666 	409 	452 	301 	389 	256 	239 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,ES	2634 	3121 	4070 	3356 	3076 	2774 	2800 	2076 b	1467 	846 	408 	259 	92 	67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,FI	90 	79 	73 	97 	73 	74 	80 	93 	83 	77 	91 	95 	84 	82 	94 	84 	81 	67 	49 	76 	62 	57 	52 	53 	50 	45 
Y13,COMPLET,NR,T,FR	: 	: 	: 	: 	: 	: 	: 	: 	713 	233 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,HR	: 	: 	: 	75 	84 	67 	36 	44 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,IE	339 	370 p	383 p	394 	211 	197 	101 	63 	72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,IS	32 	30 	22 	: 	: 	45 	47 b	25 	33 	36 	27 	44 	26 	47 	30 	33 	22 	39 	32 	28 	49 	32 	18 	17 	25 	34 
Y13,COMPLET,NR,T,IT	1270 	1079 	890 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,LI	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,LT	257 	231 	215 	298 	351 	521 	210 	196 	211 	291 	1030 	560 	496 	262 	492 	64 	76 	89 	197 	302 	371 	492 	: 	: 	: 	: 
Y13,COMPLET,NR,T,LU	: 	: 	98 	76 	78 	65 	77 	78 	74 	76 	51 	56 	59 	67 	74 	59 	68 	49 	45 	46 	38 	54 	45 	56 	45 	46 
Y13,COMPLET,NR,T,LV	: 	: 	: 	: 	: 	: 	: 	: 	108 	132 	162 	215 	185 	165 	333 	314 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,NO	196 	164 	172 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,PL	1781 p	2364 p	2266 	: 	: 	: 	: 	: b	277 	267 	118 	130 	168 	245 	308 	399 	318 	325 	359 	381 	425 	376 	354 	351 	308 	274 
Y13,COMPLET,NR,T,RO	1070 	1197 	1461 	1562 	1643 	1464 	1754 	2069 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,SE	395 	348 	368 	313 	336 	323 	263 	326 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,SI	102 	88 	81 	77 	39 	53 	75 	54 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,SK	: 	: 	: 	12 	11 b	33 	19 	33 b	19 	11 	26 	12 	12 	13 	8 	8 	4 	6 	3 	2 	3 	: 	: 	: 	: 	: 
Y13,COMPLET,NR,T,UK	1014 	1197 	849 	1145 	314 	719 	1144 	1922 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,BE	348 	327 	337 	263 	252 	247 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,BG	75 p	94 p	55 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,CH	289 	310 	296 	283 	266 b	255 	265 	224 	280 	295 	267 	250 	279 	256 	284 	305 	283 	358 	355 	417 	346 	353 	390 	371 	347 	282 
Y13,REACH,NR,F,CY	: 	: 	: 	: 	14 	28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,CZ	50 	45 	48 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,DE	836 	735 	705 	673 	766 	724 	861 b	1549 	1402 	1413 	1477 	1684 	1441 	1597 	1509 	2009 	2033 	2801 	2323 	1954 	2221 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,DK	94 	98 	95 	83 	113 	110 	94 	99 b	116 	138 	131 	135 	109 	112 	116 	103 	90 	112 	86 	117 	78 	99 	82 	83 	85 	119 
Y13,REACH,NR,F,EE	35 b	21 	40 	32 	29 	22 	11 	16 b	19 	25 	23 	17 	19 	12 	19 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,ES	1275 	1492 	1988 	1633 	1393 	1337 	1388 	1020 	705 	393 	190 	116 	50 	39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,FI	47 	39 	40 	49 	42 	36 	43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,FR	: p	: 	: 	: 	: 	: b	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,HR	146 	63 	79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,HU	31 	26 	30 	29 	5 	9 b	23 	24 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,IS	11 	13 	16 	17 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,IT	631 	581 	452 	421 	301 	257 	263 	273 b	188 	233 	208 	190 	177 	168 	234 	210 	267 	206 	197 	199 	168 	345 	339 	293 	310 	294 
Y13,REACH,NR,F,LI	2 	0 	1 	0 	2 	2 	2 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,LT	152 	112 	116 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,LU	51 	28 	44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,LV	66 	63 	68 	56 	100 	98 	87 	66 	48 	55 	79 	104 	80 	76 	136 	137 	37 	52 	81 	94 	134 	212 	300 	448 	131 	: 
Y13,REACH,NR,F,MT	17 	8 	4 	5 	9 	3 	8 	13 b	18 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,NL	321 	337 	370 	310 	314 	307 	293 b	315 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,NO	76 	96 	85 	81 	71 	96 	63 	48 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,PL	981 p	1188 p	1143 	1214 	1369 	999 	957 b	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,SE	187 	160 	221 	201 	155 	163 	133 	180 	190 	188 	171 	158 	164 	144 	113 	126 	147 	139 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,F,SK	19 	20 	8 	: 	: 	: 	: 	: 	9 	9 	8 	5 	7 	4 	6 	3 	3 	3 	0 	2 	2 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,BE	338 	332 	357 	273 	278 	263 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,BG	83 p	92 p	54 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,CH	338 	302 	290 	299 	280 b	305 	242 	265 	264 	268 	272 	284 	299 	260 	291 	326 	342 	339 	363 	402 	361 	357 	409 	442 	336 	321 
Y13,REACH,NR,M,CY	: 	: 	: 	: 	15 	27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,CZ	57 	62 	45 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,DE	948 	795 	744 	713 	743 	801 	894 b	1526 	1467 	1528 	1587 	1691 	1656 	1626 	1631 	2223 	2107 	3084 	2499 	2075 	2343 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,DK	91 	102 	93 	99 	110 	82 	105 	121 b	129 	128 	154 	131 	124 	138 	110 	103 	130 	106 	96 	125 	102 	108 	84 	74 	102 	104 
Y13,REACH,NR,M,EE	36 b	21 	40 	35 	30 	18 	20 	16 b	18 	33 	19 	16 	14 	13 	26 	16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,ES	1322 	1595 	2047 	1766 	1490 	1489 	1376 	1027 	760 	465 	204 	143 	43 	25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,FI	42 	37 	36 	40 	42 	43 	40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,FR	: p	: 	: 	: 	: 	: b	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,HR	154 	57 	78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,HU	38 	36 	43 	20 	5 	7 b	33 	14 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,IS	22 	19 	9 	20 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,IT	695 	564 	477 	445 	288 	287 	210 	222 b	174 	241 	197 	193 	221 	183 	248 	235 	255 	209 	180 	206 	215 	369 	343 	291 	323 	304 
Y13,REACH,NR,M,LI	1 	2 	1 	0 	1 	1 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,LT	125 	117 	135 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,LU	51 	31 	61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,LV	78 	62 	81 	65 	91 	121 	107 	50 	60 	77 	83 	111 	105 	89 	197 	177 	42 	82 	96 	101 	131 	247 	312 	491 	159 	: 
Y13,REACH,NR,M,MT	18 	14 	2 	5 	13 	9 	10 	19 b	13 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,NL	310 	387 	349 	341 	311 	316 	316 b	325 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,NO	84 	87 	93 	82 	102 	105 	76 	42 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,PL	978 p	1159 p	1247 	1241 	1245 	970 	1077 b	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,SE	192 	197 	167 	156 	162 	157 	131 	171 	152 	184 	181 	164 	143 	142 	129 	145 	158 	181 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,M,SK	27 	16 	11 	: 	: 	: 	: 	: 	9 	7 	10 	11 	5 	8 	5 	4 	1 	3 	3 	0 	1 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,BE	686 	659 	694 	536 	530 	510 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,BG	158 p	186 p	109 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,CH	627 	612 	586 	582 	546 b	560 	507 	489 	544 	563 	539 	534 	578 	516 	575 	631 	625 	697 	718 	819 	707 	710 	799 	813 	683 	603 
Y13,REACH,NR,T,CY	4 	14 	0 	185 	29 	55 	57 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,CZ	107 	107 	93 b	163 	210 	201 	243 	259 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,DE	1784 	1530 	1449 	1386 	1509 	1525 	1755 b	3075 	2869 	2941 	3064 	3375 	3097 	3223 	3140 	4232 	4140 	5885 	4822 	4029 	4564 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,DK	185 	200 	188 	182 	223 	192 	199 	220 b	245 	266 	285 	266 	233 	250 	226 	206 	220 	218 	182 	242 	180 	207 	166 	157 	187 	223 
Y13,REACH,NR,T,EE	71 b	42 	80 	67 	59 	40 	31 	32 b	37 	58 	42 	33 	33 	25 	45 	27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,ES	2597 	3087 	4035 	3400 	2883 	2826 	2764 	2047 	1465 	858 	394 	259 	93 	64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,FI	89 	76 	76 	89 	84 	79 	83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,FR	1031 p	892 p	665 	222 	643 	1037 b	625 	560 	713 	233 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,HR	300 	120 	157 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,HU	69 	62 	73 	49 	10 	16 b	56 	38 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,IS	33 	32 	25 	37 	40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,IT	1326 	1145 	929 	866 	589 	544 	473 	495 b	362 	474 	405 	383 	398 	351 	482 	445 	522 	415 	377 	405 	383 	714 	682 	584 	633 	598 
Y13,REACH,NR,T,LI	3 	2 	2 	0 	3 	3 	2 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,LT	277 	229 	251 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,LU	102 	59 	105 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,LV	144 	125 	149 	121 	191 	219 	194 	116 	108 	132 	162 	215 	185 	165 	333 	314 	79 	134 	177 	195 	265 	459 	612 	939 	290 	: 
Y13,REACH,NR,T,MT	35 	22 	6 	10 	22 	12 	18 	32 b	31 	28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,NL	631 	724 	719 	651 	625 	623 	609 b	640 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,NO	160 	183 	178 	163 	173 	201 	139 	90 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,PL	1959 p	2347 p	2390 	2455 	2614 	1969 	2034 b	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,PT	172 	130 	142 	240 	354 	41 	29 	36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y13,REACH,NR,T,SE	379 	357 	388 	357 	317 	320 	264 	351 	342 	372 	352 	322 	307 	286 	242 	271 	305 	320 	: 	: 	: 	: 	: 	: 	: 	: 
